,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44785,1,2024-11-04,,Northwest Indian College,W,118,35,46,78,.590,19,36,.528,7,12,.583,11,59,28,9,7,7,14,,13,69,.188,3,21,.143,6,14,.429,9,33,9,3,0,16,15,2025,weber-state
44786,2,2024-11-08,@,Oregon State,L,48,76,17,51,.333,7,25,.280,7,11,.636,5,22,7,7,3,12,13,,28,59,.475,9,24,.375,11,11,1.000,9,36,19,7,6,11,15,2025,weber-state
44787,3,2024-11-13,@,Nevada,L,58,88,15,54,.278,3,20,.150,25,34,.735,13,32,7,0,0,8,23,,29,51,.569,12,21,.571,18,28,.643,5,28,24,7,5,4,24,2025,weber-state
44788,4,2024-11-17,@,Hawaii,L (1 OT),68,73,26,60,.433,4,18,.222,12,20,.600,7,30,7,11,7,10,29,,22,51,.431,3,15,.200,26,40,.650,9,33,14,5,5,13,18,2025,weber-state
44789,5,2024-11-22,,UC-Irvine,L,87,93,31,63,.492,13,25,.520,12,20,.600,8,28,14,10,3,12,22,,31,61,.508,9,16,.563,22,27,.815,11,40,20,9,4,14,20,2025,weber-state
44790,6,2024-11-25,,,W,93,45,28,62,.452,13,32,.406,24,34,.706,16,46,17,7,5,9,19,,15,46,.326,2,11,.182,13,25,.520,3,25,8,4,3,15,25,2025,weber-state
44791,7,2024-11-29,N,Bowling Green State,W,73,70,26,55,.473,7,25,.280,14,21,.667,5,27,11,9,4,14,18,,23,59,.390,6,21,.286,18,21,.857,10,32,7,4,0,13,18,2025,weber-state
44792,8,2024-11-30,N,Pepperdine,W,68,53,22,58,.379,7,24,.292,17,19,.895,8,38,8,10,1,12,21,,17,52,.327,4,14,.286,15,24,.625,8,35,10,7,5,14,16,2025,weber-state
44793,9,2024-12-04,,North Dakota State,L,73,77,27,61,.443,9,25,.360,10,14,.714,10,35,12,3,2,3,13,,25,57,.439,15,34,.441,12,16,.750,10,34,12,1,1,7,13,2025,weber-state
44794,10,2024-12-07,@,North Dakota,L,75,80,28,53,.528,7,20,.350,12,14,.857,5,26,9,7,1,11,24,,28,64,.438,4,19,.211,20,29,.690,16,36,10,4,0,8,15,2025,weber-state
44795,11,2024-12-13,@,Utah Tech,W,73,71,27,53,.509,6,19,.316,13,19,.684,10,30,13,5,2,11,18,,24,49,.490,8,19,.421,15,24,.625,9,25,15,5,5,9,17,2025,weber-state
44796,12,2024-12-18,,Lincoln (CA),W,128,58,47,76,.618,17,32,.531,17,21,.810,11,60,26,6,2,9,9,,23,77,.299,7,36,.194,5,5,1.000,3,24,10,8,1,10,16,2025,weber-state
44797,13,2024-12-21,,Utah Valley,L,62,64,24,53,.453,5,20,.250,9,15,.600,7,27,9,7,3,10,19,,23,49,.469,6,17,.353,12,22,.545,10,32,13,5,6,12,14,2025,weber-state
44798,14,2024-12-29,@,Oregon,L,49,89,17,51,.333,3,22,.136,12,21,.571,8,24,10,7,1,17,15,,33,60,.550,9,22,.409,14,17,.824,8,39,14,8,1,11,16,2025,weber-state
44799,15,2025-01-02,@,Northern Colorado,L,72,89,25,54,.463,9,21,.429,13,19,.684,5,23,9,7,3,12,16,,30,51,.588,12,24,.500,17,21,.810,5,27,23,9,3,13,16,2025,weber-state
44800,16,2025-01-04,@,Northern Arizona,L,77,80,26,58,.448,7,24,.292,18,20,.900,9,27,9,4,1,9,19,,29,57,.509,8,18,.444,14,18,.778,6,27,12,4,1,7,19,2025,weber-state
44801,17,2025-01-11,@,Idaho State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44802,18,2025-01-16,,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44803,19,2025-01-18,,Montana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44804,20,2025-01-23,@,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44805,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,weber-state
44806,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,weber-state
44807,21,2025-01-25,@,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44808,22,2025-01-30,,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44809,23,2025-02-01,,Eastern Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44810,24,2025-02-03,,Northern Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44811,25,2025-02-08,,Idaho State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44812,26,2025-02-13,@,Montana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44813,27,2025-02-15,@,Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44814,28,2025-02-20,,Sacramento State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44815,29,2025-02-22,,Portland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44816,30,2025-02-27,@,Eastern Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
44817,31,2025-03-01,@,Idaho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,weber-state
