,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
45817,1.0,1.0,2024-11-04,@,Mississippi State,REG (Non-Conf),L,60,95,,21,54,0.389,4,19,0.211,17,35,0.486,0.426,14,20,0.7,6,24,30,11,3,4,19,13,36,65,0.554,14,30,0.467,22,35,0.629,0.662,9,16,0.563,7,22,29,19,17,4,8,17,2025,west-georgia
45818,2.0,2.0,2024-11-06,@,Georgia Tech,REG (Non-Conf),L,62,85,,23,64,0.359,6,15,0.4,17,49,0.347,0.406,10,18,0.556,6,17,23,10,6,6,7,15,33,68,0.485,7,27,0.259,26,41,0.634,0.537,12,17,0.706,10,32,42,20,5,6,10,16,2025,west-georgia
45819,3.0,3.0,2024-11-12,@,Tennessee Tech,REG (Non-Conf),L,73,76,,29,69,0.42,6,18,0.333,23,51,0.451,0.464,9,12,0.75,13,24,37,15,11,1,16,14,29,55,0.527,10,30,0.333,19,25,0.76,0.618,8,16,0.5,4,25,29,17,12,7,15,13,2025,west-georgia
45820,4.0,4.0,2024-11-15,@,South Florida,REG (Non-Conf),L,55,74,,20,57,0.351,5,19,0.263,15,38,0.395,0.395,10,19,0.526,9,21,30,13,4,5,10,13,28,55,0.509,5,21,0.238,23,34,0.676,0.555,13,18,0.722,5,31,36,17,7,6,9,14,2025,west-georgia
45821,5.0,5.0,2024-11-19,,Troy,REG (Non-Conf),L,65,84,,28,61,0.459,4,13,0.308,24,48,0.5,0.492,5,6,0.833,12,14,26,10,4,1,14,17,25,49,0.51,10,25,0.4,15,24,0.625,0.612,24,27,0.889,10,14,24,16,11,1,10,12,2025,west-georgia
45822,6.0,6.0,2024-11-23,@,Georgia Southern,REG (Non-Conf),L,54,64,,22,59,0.373,6,21,0.286,16,38,0.421,0.424,4,11,0.364,7,24,31,14,12,3,16,11,24,62,0.387,12,34,0.353,12,28,0.429,0.484,4,8,0.5,11,26,37,13,8,3,20,14,2025,west-georgia
45823,7.0,7.0,2024-11-26,N,Utah Valley,REG (Non-Conf),L,74,77,,28,58,0.483,7,19,0.368,21,39,0.538,0.543,11,15,0.733,4,20,24,16,7,7,10,25,26,59,0.441,2,11,0.182,24,48,0.5,0.458,23,35,0.657,13,24,37,13,7,3,9,14,2025,west-georgia
45824,8.0,8.0,2024-11-27,N,North Dakota State,REG (Non-Conf),L,61,73,,24,65,0.369,2,18,0.111,22,47,0.468,0.385,11,16,0.688,9,19,28,6,6,2,5,13,22,50,0.44,15,37,0.405,7,13,0.538,0.59,14,16,0.875,7,34,41,15,2,2,13,17,2025,west-georgia
45825,9.0,9.0,2024-11-29,@,Samford,REG (Non-Conf),L,65,86,,25,61,0.41,4,17,0.235,21,44,0.477,0.443,11,16,0.688,14,20,34,12,10,7,15,18,30,61,0.492,12,26,0.462,18,35,0.514,0.59,14,17,0.824,9,23,32,18,10,6,12,14,2025,west-georgia
45826,10.0,10.0,2024-12-04,@,Mercer,REG (Non-Conf),L,72,86,,25,59,0.424,8,24,0.333,17,35,0.486,0.492,14,15,0.933,10,18,28,11,4,1,11,16,32,61,0.525,10,31,0.323,22,30,0.733,0.607,12,18,0.667,13,24,37,20,5,4,7,17,2025,west-georgia
45827,11.0,11.0,2024-12-07,,Tennessee Tech,REG (Non-Conf),W,78,73,,29,58,0.5,7,20,0.35,22,38,0.579,0.56,13,16,0.813,5,17,22,18,8,2,6,12,25,52,0.481,8,24,0.333,17,28,0.607,0.558,15,20,0.75,7,24,31,17,5,0,15,13,2025,west-georgia
45828,12.0,12.0,2024-12-17,@,Charlotte,REG (Non-Conf),L,70,75,,30,58,0.517,4,11,0.364,26,47,0.553,0.552,6,11,0.545,9,22,31,12,7,3,12,24,20,54,0.37,8,21,0.381,12,33,0.364,0.444,27,31,0.871,10,18,28,9,8,3,9,14,2025,west-georgia
45829,13.0,13.0,2024-12-21,,Brewton-Parker,REG (Non-Conf),W,107,61,,43,69,0.623,9,21,0.429,34,48,0.708,0.688,12,15,0.8,9,31,40,29,10,3,14,18,23,61,0.377,2,20,0.1,21,41,0.512,0.393,13,24,0.542,10,16,26,15,7,1,19,14,2025,west-georgia
45830,14.0,14.0,2025-01-02,,Florida Gulf Coast,REG (Conf),L,68,79,,26,61,0.426,8,22,0.364,18,39,0.462,0.492,8,12,0.667,6,19,25,12,5,2,8,14,28,57,0.491,6,22,0.273,22,35,0.629,0.544,17,25,0.68,9,25,34,17,6,2,10,10,2025,west-georgia
45831,15.0,15.0,2025-01-04,,Stetson,REG (Conf),L,62,78,,23,66,0.348,5,15,0.333,18,51,0.353,0.386,11,20,0.55,12,20,32,14,7,0,6,20,25,48,0.521,5,17,0.294,20,31,0.645,0.573,23,26,0.885,3,33,36,11,5,1,12,16,2025,west-georgia
45832,16.0,16.0,2025-01-09,@,Austin Peay,REG (Conf),W,72,68,,29,55,0.527,5,13,0.385,24,42,0.571,0.573,9,19,0.474,4,33,37,17,7,3,11,17,22,57,0.386,9,25,0.36,13,32,0.406,0.465,15,25,0.6,8,24,32,10,8,4,12,17,2025,west-georgia
45833,17.0,17.0,2025-01-11,@,Lipscomb,REG (Conf),L,67,86,,26,65,0.4,4,19,0.211,22,46,0.478,0.431,11,18,0.611,10,20,30,8,6,0,6,23,26,52,0.5,13,29,0.448,13,23,0.565,0.625,21,31,0.677,9,32,41,15,3,5,10,16,2025,west-georgia
45834,18.0,18.0,2025-01-16,@,Florida Gulf Coast,REG (Conf),L,60,82,,18,52,0.346,8,24,0.333,10,28,0.357,0.423,16,27,0.593,3,16,19,8,12,0,15,13,32,55,0.582,7,20,0.35,25,35,0.714,0.645,11,19,0.579,8,32,40,18,8,2,17,18,2025,west-georgia
45835,19.0,19.0,2025-01-18,@,Stetson,REG (Conf),L,78,82,,24,54,0.444,6,20,0.3,18,34,0.529,0.5,24,28,0.857,8,20,28,15,6,2,9,24,24,43,0.558,11,18,0.611,13,25,0.52,0.686,23,34,0.676,2,20,22,14,6,1,11,22,2025,west-georgia
45836,20.0,20.0,2025-01-23,,Jacksonville,REG (Conf),L,62,79,,26,56,0.464,3,18,0.167,23,38,0.605,0.491,7,11,0.636,6,22,28,12,8,7,14,13,27,61,0.443,10,24,0.417,17,37,0.459,0.525,15,22,0.682,10,22,32,23,8,2,9,12,2025,west-georgia
