,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44852,1,2024-11-04,,Robert Morris,W,87,59,33,60,.550,14,34,.412,7,12,.583,6,34,16,10,8,11,14,,22,68,.324,6,24,.250,9,12,.750,15,40,8,6,1,13,12,2025,west-virginia
44853,2,2024-11-08,,UMass,W,75,69,21,57,.368,8,23,.348,25,29,.862,12,36,12,12,4,14,19,,25,60,.417,6,21,.286,13,20,.650,12,34,11,8,5,15,18,2025,west-virginia
44854,3,2024-11-15,@,Pitt,L,62,86,24,62,.387,6,29,.207,8,15,.533,3,29,10,6,5,8,22,,28,58,.483,10,27,.370,20,26,.769,5,39,13,3,3,10,14,2025,west-virginia
44855,4,2024-11-20,,Iona,W,86,43,29,56,.518,15,31,.484,13,19,.684,12,38,15,11,11,16,17,,14,59,.237,5,19,.263,10,15,.667,14,30,6,7,2,20,17,2025,west-virginia
44856,5,2024-11-27,N,Gonzaga,W (1 OT),86,78,26,63,.413,11,35,.314,23,26,.885,8,32,12,7,8,11,17,,26,65,.400,7,21,.333,19,22,.864,8,31,20,7,3,12,18,2025,west-virginia
44857,6,2024-11-28,N,Louisville,L (1 OT),70,79,26,59,.441,9,26,.346,9,12,.750,5,26,11,5,6,14,29,,24,57,.421,7,28,.250,24,33,.727,12,38,10,7,4,13,15,2025,west-virginia
44858,7,2024-11-29,N,Arizona,W (1 OT),83,76,27,68,.397,12,34,.353,17,22,.773,11,31,21,11,3,7,10,,29,64,.453,7,21,.333,11,13,.846,9,36,14,4,5,14,15,2025,west-virginia
44859,8,2024-12-06,,Georgetown,W,73,60,26,57,.456,9,26,.346,12,13,.923,5,28,13,8,6,10,11,,22,58,.379,9,27,.333,7,8,.875,10,29,8,5,4,14,16,2025,west-virginia
44860,9,2024-12-10,,North Carolina Central,W,79,45,28,68,.412,15,39,.385,8,10,.800,17,42,21,7,4,9,14,,16,48,.333,2,14,.143,11,19,.579,9,26,6,7,3,14,13,2025,west-virginia
44861,10,2024-12-14,,Bethune-Cookman,W,84,61,27,58,.466,10,26,.385,20,22,.909,6,35,15,6,8,8,17,,22,61,.361,4,18,.222,13,19,.684,10,36,7,6,2,13,16,2025,west-virginia
44862,11,2024-12-22,,Mercyhurst,W,67,46,25,52,.481,5,19,.263,12,18,.667,7,34,14,7,3,11,15,,15,53,.283,5,17,.294,11,14,.786,10,31,8,4,1,14,15,2025,west-virginia
44863,12,2024-12-31,@,Kansas,W,62,61,26,60,.433,6,20,.300,4,6,.667,7,31,18,4,5,6,16,,19,49,.388,4,16,.250,19,21,.905,7,31,10,3,0,8,9,2025,west-virginia
44864,13,2025-01-04,,Oklahoma State,W,69,50,23,55,.418,11,30,.367,12,20,.600,12,40,15,7,3,14,16,,18,54,.333,3,21,.143,11,20,.550,11,36,5,9,2,16,22,2025,west-virginia
44865,14,2025-01-07,,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44866,15,2025-01-12,@,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44867,16,2025-01-15,@,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44868,17,2025-01-18,,Iowa State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44869,18,2025-01-21,,Arizona State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44870,19,2025-01-25,@,Kansas State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44871,20,2025-01-29,,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44872,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,west-virginia
44873,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,west-virginia
44874,21,2025-02-02,@,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44875,22,2025-02-05,@,TCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44876,23,2025-02-08,,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44877,24,2025-02-11,,BYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44878,25,2025-02-15,@,Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44879,26,2025-02-19,,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
44880,27,2025-02-22,@,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,west-virginia
