,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44885,1,2024-11-04,,Bob Jones University,W,100,61,37,62,.597,13,34,.382,13,18,.722,11,49,26,8,3,19,10,,22,71,.310,10,41,.244,7,11,.636,7,22,9,13,1,10,14,2025,western-carolina
44886,2,2024-11-08,@,Queens (NC),L,54,67,21,67,.313,3,21,.143,9,16,.563,11,41,7,8,8,15,22,,22,70,.314,8,31,.258,15,23,.652,14,47,15,8,6,14,15,2025,western-carolina
44887,3,2024-11-13,,Truett-McConnell,W,99,64,36,70,.514,14,35,.400,13,17,.765,14,44,19,9,3,16,11,,25,67,.373,10,30,.333,4,7,.571,9,25,11,11,3,16,14,2025,western-carolina
44888,4,2024-11-19,@,Wake Forest,L,69,82,24,56,.429,11,32,.344,10,11,.909,8,31,14,4,2,21,17,,27,63,.429,12,31,.387,16,19,.842,7,19,17,6,4,8,14,2025,western-carolina
44889,5,2024-11-26,@,Florida State,L,57,91,21,64,.328,8,36,.222,7,9,.778,10,29,8,6,3,19,22,,31,54,.574,9,21,.429,20,26,.769,8,35,19,15,5,18,14,2025,western-carolina
44890,6,2024-11-30,@,Marquette,L,62,94,23,60,.383,8,27,.296,8,12,.667,5,31,15,7,2,18,13,,37,72,.514,14,40,.350,6,10,.600,8,35,21,15,5,13,16,2025,western-carolina
44891,7,2024-12-04,,Bellarmine,W,86,74,31,64,.484,13,32,.406,11,18,.611,11,37,14,6,0,11,16,,26,56,.464,12,29,.414,10,15,.667,4,24,16,6,0,12,16,2025,western-carolina
44892,8,2024-12-07,,USC Upstate,L,68,74,24,54,.444,9,28,.321,11,16,.688,6,28,11,5,0,19,20,,28,56,.500,4,16,.250,14,22,.636,7,28,14,14,3,12,15,2025,western-carolina
44893,9,2024-12-14,@,UNC Asheville,L,61,78,24,61,.393,7,29,.241,6,13,.462,10,30,11,6,2,13,23,,26,50,.520,4,11,.364,22,28,.786,3,29,9,9,3,13,13,2025,western-carolina
44894,10,2024-12-17,@,Tennessee,L,36,84,14,64,.219,6,39,.154,2,4,.500,13,35,6,5,3,20,14,,32,69,.464,8,27,.296,12,14,.857,13,45,22,17,6,10,8,2025,western-carolina
