,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44916,1,2024-11-04,@,San Jose State,W,59,55,22,51,.431,7,24,.292,8,10,.800,6,32,10,3,2,12,24,,16,46,.348,3,16,.188,20,29,.690,4,25,6,5,0,5,15,2025,western-illinois
44917,2,2024-11-06,@,Pepperdine,L,64,77,25,61,.410,5,23,.217,9,11,.818,6,24,6,6,4,9,11,,28,52,.538,7,15,.467,14,19,.737,5,33,15,3,3,13,12,2025,western-illinois
44918,3,2024-11-13,,Green Bay,L,73,87,28,66,.424,10,21,.476,7,18,.389,16,38,8,3,3,11,11,,31,63,.492,13,33,.394,12,13,.923,9,33,12,5,1,6,12,2025,western-illinois
44919,4,2024-11-16,,Central Arkansas,W,63,61,21,54,.389,8,29,.276,13,20,.650,7,29,11,8,3,7,9,,23,53,.434,8,24,.333,7,7,1.000,7,30,12,4,3,12,18,2025,western-illinois
44920,5,2024-11-19,@,Northern Iowa,L,56,82,23,53,.434,4,16,.250,6,9,.667,7,24,6,2,2,10,18,,31,51,.608,5,17,.294,15,21,.714,4,27,14,9,3,7,13,2025,western-illinois
44921,6,2024-11-21,,Monmouth (IL),W,73,46,24,55,.436,9,27,.333,16,19,.842,17,43,12,8,5,15,16,,17,55,.309,6,20,.300,6,11,.545,12,24,6,10,1,14,11,2025,western-illinois
44922,7,2024-11-26,@,South Alabama,W,64,63,22,53,.415,15,40,.375,5,6,.833,8,34,16,4,3,10,13,,22,59,.373,5,26,.192,14,19,.737,10,32,9,8,0,5,10,2025,western-illinois
44923,8,2024-11-27,N,Incarnate Word,L,75,86,23,45,.511,5,13,.385,24,28,.857,8,26,5,4,4,16,13,,34,64,.531,9,20,.450,9,13,.692,8,23,15,7,1,5,20,2025,western-illinois
44924,9,2024-12-04,,St. Ambrose,W,97,64,39,72,.542,13,26,.500,6,15,.400,13,47,19,5,5,5,10,,21,62,.339,11,29,.379,11,14,.786,7,29,15,5,1,10,10,2025,western-illinois
44925,10,2024-12-06,,East-West,W,96,49,35,67,.522,9,26,.346,17,23,.739,16,60,21,3,7,15,10,,21,67,.313,5,31,.161,2,8,.250,2,15,15,8,4,5,17,2025,western-illinois
44926,11,2024-12-14,@,South Dakota,L,66,89,26,68,.382,10,19,.526,4,8,.500,10,24,8,5,2,9,21,,29,56,.518,6,15,.400,25,36,.694,14,40,12,6,2,9,13,2025,western-illinois
44927,12,2024-12-17,,Tennessee Tech,W,71,68,28,66,.424,7,21,.333,8,10,.800,11,31,9,8,5,5,9,,26,59,.441,9,26,.346,7,10,.700,11,36,14,4,2,11,14,2025,western-illinois
44928,13,2024-12-21,@,Lindenwood,L,65,71,24,56,.429,6,22,.273,11,16,.688,7,24,10,6,6,13,15,,27,56,.482,4,15,.267,13,18,.722,9,33,12,8,0,12,15,2025,western-illinois
44929,14,2025-01-02,@,SIU-Edwardsville,L,66,77,24,55,.436,10,23,.435,8,9,.889,12,26,12,8,1,9,12,,30,50,.600,8,13,.615,9,14,.643,8,26,14,6,5,10,12,2025,western-illinois
44930,15,2025-01-04,@,Eastern Illinois,W,75,67,28,54,.519,12,20,.600,7,10,.700,7,30,17,6,7,14,18,,24,59,.407,2,17,.118,17,22,.773,12,31,14,9,5,12,14,2025,western-illinois
44931,16,2025-01-09,,UT-Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-illinois
