,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44949,1,2024-11-04,,Wichita State,L,84,91,27,68,.397,6,25,.240,24,34,.706,9,37,12,8,3,13,25,,27,61,.443,11,27,.407,26,36,.722,8,39,17,11,8,14,21,2025,western-kentucky
44950,2,2024-11-09,@,Grand Canyon,L,72,74,28,61,.459,8,21,.381,8,13,.615,6,34,8,7,2,14,19,,24,60,.400,4,17,.235,22,29,.759,9,36,10,11,4,11,14,2025,western-kentucky
44951,3,2024-11-12,,Campbellsville,W,104,76,40,78,.513,16,32,.500,8,10,.800,6,34,27,11,2,5,9,,30,70,.429,13,31,.419,3,6,.500,8,37,18,3,4,16,14,2025,western-kentucky
44952,4,2024-11-17,,Lipscomb,W,66,61,24,63,.381,5,22,.227,13,18,.722,7,39,9,9,5,13,14,,23,66,.348,5,31,.161,10,11,.909,6,36,15,10,4,13,14,2025,western-kentucky
44953,5,2024-11-20,,Jackson State,W,79,62,30,69,.435,14,31,.452,5,8,.625,12,41,19,13,4,13,14,,23,58,.397,8,25,.320,8,12,.667,7,31,11,6,6,16,10,2025,western-kentucky
44954,6,2024-11-26,@,Kentucky,L,68,87,21,66,.318,4,26,.154,22,29,.759,12,40,7,7,3,11,29,,25,62,.403,8,29,.276,29,42,.690,13,48,16,5,7,10,20,2025,western-kentucky
44955,7,2024-11-30,,Marshall,W,90,82,28,48,.583,7,15,.467,27,40,.675,0,25,10,9,4,14,23,,26,67,.388,7,30,.233,23,28,.821,12,36,14,9,2,13,27,2025,western-kentucky
44956,8,2024-12-07,@,Evansville,W,79,65,27,61,.443,10,24,.417,15,18,.833,5,36,14,8,2,10,16,,22,61,.361,9,31,.290,12,16,.750,5,32,14,7,7,10,14,2025,western-kentucky
44957,9,2024-12-10,,Tennessee State,W,84,60,29,61,.475,10,26,.385,16,20,.800,5,30,14,12,3,9,15,,19,60,.317,6,27,.222,16,18,.889,11,35,9,5,3,19,18,2025,western-kentucky
44958,10,2024-12-14,,Murray State,W (1 OT),81,76,27,71,.380,6,25,.240,21,25,.840,12,44,7,8,1,14,20,,25,66,.379,7,21,.333,19,26,.731,8,39,15,10,4,13,21,2025,western-kentucky
44959,11,2024-12-17,,Seattle,W,86,73,29,49,.592,12,20,.600,16,24,.667,2,35,18,2,3,9,21,,21,63,.333,8,33,.242,23,30,.767,13,37,9,8,1,5,19,2025,western-kentucky
44960,12,2024-12-21,,Kentucky Wesleyan,W,91,71,34,69,.493,13,31,.419,10,13,.769,9,27,16,14,2,6,6,,29,57,.509,11,27,.407,2,3,.667,9,31,21,3,4,18,12,2025,western-kentucky
44961,13,2024-12-29,@,Michigan,L,64,112,24,66,.364,5,25,.200,11,19,.579,5,24,5,8,2,14,22,,33,64,.516,19,40,.475,27,35,.771,14,52,21,7,3,17,14,2025,western-kentucky
44962,14,2025-01-02,@,Liberty,W,71,70,28,62,.452,5,17,.294,10,19,.526,8,38,9,5,2,14,14,,27,62,.435,8,27,.296,8,16,.500,7,35,15,7,4,8,16,2025,western-kentucky
44963,15,2025-01-04,@,Florida International,L,66,85,21,57,.368,4,22,.182,20,24,.833,6,20,9,20,3,20,19,,27,58,.466,11,22,.500,20,25,.800,12,36,16,16,6,24,19,2025,western-kentucky
44964,16,2025-01-09,,Jacksonville State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44965,17,2025-01-11,,Kennesaw State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44966,18,2025-01-18,@,Middle Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44967,19,2025-01-23,@,Louisiana Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44968,20,2025-01-25,@,Sam Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44969,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,western-kentucky
44970,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,western-kentucky
44971,21,2025-01-30,,UTEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44972,22,2025-02-01,,New Mexico State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44973,23,2025-02-06,@,Kennesaw State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44974,24,2025-02-08,@,Jacksonville State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44975,25,2025-02-15,,Middle Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44976,26,2025-02-20,,Sam Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44977,27,2025-02-22,,Louisiana Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44978,28,2025-02-27,@,UTEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44979,29,2025-03-01,@,New Mexico State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44980,30,2025-03-06,,Florida International,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
44981,31,2025-03-08,,Liberty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-kentucky
