,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
44982,1,2024-11-04,@,Coastal Carolina,L,56,60,18,52,.346,3,15,.200,17,28,.607,8,31,5,7,2,8,16,,22,47,.468,6,20,.300,10,15,.667,3,33,13,4,3,9,22,2025,western-michigan
44983,2,2024-11-07,,Davenport,W,86,46,32,62,.516,11,27,.407,11,18,.611,10,42,27,12,4,13,19,,18,55,.327,4,22,.182,6,16,.375,9,29,9,9,1,21,16,2025,western-michigan
44984,3,2024-11-11,@,Butler,L,65,85,22,73,.301,4,22,.182,15,17,.882,14,33,7,6,1,5,20,,28,50,.560,10,21,.476,19,24,.792,2,30,21,2,8,11,14,2025,western-michigan
44985,4,2024-11-15,,SIU-Edwardsville,L,60,79,16,54,.296,2,13,.154,26,37,.703,10,32,2,7,3,9,14,,30,61,.492,14,31,.452,5,8,.625,10,36,16,4,5,13,27,2025,western-michigan
44986,5,2024-11-17,,Canisius,W,92,69,38,60,.633,10,23,.435,6,10,.600,3,35,24,3,4,6,16,,23,64,.359,9,30,.300,14,16,.875,6,26,12,4,2,4,13,2025,western-michigan
44987,6,2024-11-20,,South Dakota,L,76,80,29,71,.408,4,22,.182,14,20,.700,22,47,10,4,2,16,25,,26,69,.377,6,29,.207,22,30,.733,15,34,15,10,8,6,17,2025,western-michigan
44988,7,2024-11-27,@,Youngstown State,W,73,62,24,57,.421,6,9,.667,19,28,.679,15,43,13,7,1,12,19,,23,64,.359,5,27,.185,11,19,.579,10,28,15,8,9,9,21,2025,western-michigan
44989,8,2024-12-03,@,Dayton,L,69,77,29,54,.537,5,17,.294,6,7,.857,9,22,11,5,0,11,18,,25,48,.521,9,21,.429,18,22,.818,9,24,15,9,3,9,10,2025,western-michigan
44990,9,2024-12-13,@,St. Thomas,L,71,77,30,67,.448,5,20,.250,6,10,.600,12,41,12,4,4,8,17,,27,59,.458,13,29,.448,10,12,.833,1,20,17,6,3,5,15,2025,western-michigan
44991,10,2024-12-15,@,North Dakota State,L,62,98,24,62,.387,5,13,.385,9,13,.692,7,24,7,7,1,7,13,,38,55,.691,18,31,.581,4,9,.444,2,32,24,3,2,10,12,2025,western-michigan
44992,11,2024-12-20,,Valparaiso,L,73,76,31,68,.456,4,18,.222,7,14,.500,12,36,18,2,3,9,16,,29,63,.460,5,18,.278,13,19,.684,9,33,6,4,6,8,17,2025,western-michigan
44993,12,2024-12-30,@,Michigan State,L,62,80,24,58,.414,7,23,.304,7,17,.412,8,24,14,8,2,15,17,,27,54,.500,6,20,.300,20,22,.909,8,37,20,6,7,16,14,2025,western-michigan
44994,13,2025-01-04,,Toledo,L,70,76,26,76,.342,7,27,.259,11,18,.611,18,47,15,6,4,9,20,,25,64,.391,7,28,.250,19,25,.760,8,38,15,3,6,8,18,2025,western-michigan
44995,14,2025-01-07,,Bowling Green State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
44996,15,2025-01-11,@,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
44997,16,2025-01-14,@,Kent State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
44998,17,2025-01-18,,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
44999,18,2025-01-21,,Northern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45000,19,2025-01-25,@,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45001,20,2025-01-28,@,Ball State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45002,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,western-michigan
45003,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,western-michigan
45004,21,2025-02-01,,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45005,22,2025-02-04,@,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45006,23,2025-02-11,@,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45007,24,2025-02-15,,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45008,25,2025-02-18,@,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45009,26,2025-02-22,,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45010,27,2025-02-25,,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45011,28,2025-03-01,@,Northern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45012,29,2025-03-04,,Kent State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
45013,30,2025-03-07,@,Bowling Green State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,western-michigan
