,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
45014,1,2024-11-04,@,Western Kentucky,W,91,84,27,61,.443,11,27,.407,26,36,.722,8,39,17,11,8,14,21,,27,68,.397,6,25,.240,24,34,.706,9,37,12,8,3,13,25,2025,wichita-state
45015,2,2024-11-09,,Montana State,W,89,69,32,61,.525,3,12,.250,22,26,.846,9,35,12,6,7,6,13,,25,67,.373,12,43,.279,7,9,.778,5,25,12,4,3,10,17,2025,wichita-state
45016,3,2024-11-14,,Northern Iowa,W,79,73,27,63,.429,6,15,.400,19,24,.792,11,37,10,6,2,8,13,,28,59,.475,8,20,.400,9,14,.643,5,29,17,4,6,9,15,2025,wichita-state
45017,4,2024-11-18,,Monmouth,W,70,66,24,54,.444,2,15,.133,20,31,.645,6,30,15,12,2,10,17,,27,58,.466,6,17,.353,6,18,.333,7,34,13,9,4,13,21,2025,wichita-state
45018,5,2024-11-22,N,Saint Louis,W,88,63,31,68,.456,5,22,.227,21,25,.840,7,41,12,10,1,7,18,,23,58,.397,6,30,.200,11,21,.524,6,33,16,4,1,14,21,2025,wichita-state
45019,6,2024-11-28,N,Minnesota,W (1 OT),68,66,27,60,.450,4,14,.286,10,14,.714,6,31,7,5,5,12,17,,27,65,.415,3,23,.130,9,17,.529,13,36,18,7,8,11,15,2025,wichita-state
45020,7,2024-11-29,N,Florida,L,51,88,17,57,.298,5,22,.227,12,19,.632,4,25,9,2,4,9,9,,35,78,.449,14,33,.424,4,5,.800,17,51,20,6,8,8,16,2025,wichita-state
45021,8,2024-12-04,,Alcorn State,W,78,54,27,61,.443,9,30,.300,15,18,.833,8,44,19,5,7,10,17,,19,73,.260,5,22,.227,11,20,.550,19,43,9,5,3,8,16,2025,wichita-state
45022,9,2024-12-07,,ETSU,W,96,87,35,64,.547,9,21,.429,17,21,.810,7,36,19,8,7,11,12,,33,71,.465,14,36,.389,7,12,.583,7,27,20,7,2,12,16,2025,wichita-state
45023,10,2024-12-14,@,DePaul,L,72,91,26,51,.510,7,15,.467,13,22,.591,6,25,14,4,3,16,10,,32,62,.516,17,33,.515,10,13,.769,6,26,24,8,4,9,18,2025,wichita-state
45024,11,2024-12-17,,Kansas City,L,64,74,24,62,.387,3,19,.158,13,24,.542,12,29,7,9,3,6,18,,28,53,.528,8,22,.364,10,18,.556,10,38,16,5,3,11,16,2025,wichita-state
45025,12,2024-12-21,,Kansas State,W,84,65,30,59,.508,4,10,.400,20,22,.909,7,38,14,9,8,8,14,,25,69,.362,9,32,.281,6,15,.400,12,32,16,3,9,12,18,2025,wichita-state
