,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
45047,1,2024-11-04,,Piedmont,W,125,65,46,88,.523,13,40,.325,20,28,.714,25,58,20,10,6,9,14,,24,66,.364,8,24,.333,9,12,.750,4,23,12,4,4,15,22,2025,winthrop
45048,2,2024-11-09,,Little Rock,W,82,67,23,55,.418,9,27,.333,27,42,.643,17,46,14,14,2,22,23,,22,64,.344,8,25,.320,15,23,.652,12,30,10,16,7,18,31,2025,winthrop
45049,3,2024-11-11,@,Virginia Tech,L,52,58,20,58,.345,5,32,.156,7,13,.538,8,28,8,2,3,11,17,,19,57,.333,8,29,.276,12,18,.667,13,37,9,6,3,11,17,2025,winthrop
45050,4,2024-11-15,,William & Mary,W,86,85,29,65,.446,8,24,.333,20,31,.645,9,32,10,14,4,11,24,,24,55,.436,14,31,.452,23,30,.767,11,35,15,5,3,22,25,2025,winthrop
45051,5,2024-11-16,,Georgia Southern,L,87,89,24,51,.471,3,16,.188,36,49,.735,6,38,5,9,3,19,21,,30,68,.441,9,30,.300,20,28,.714,8,34,12,11,9,15,34,2025,winthrop
45052,6,2024-11-17,,North Carolina Central,W,77,75,26,54,.481,6,21,.286,19,26,.731,13,37,10,7,3,14,17,,26,58,.448,11,22,.500,12,15,.800,6,24,14,5,0,12,22,2025,winthrop
45053,7,2024-11-22,@,Louisville,L,61,76,22,70,.314,6,29,.207,11,22,.500,17,37,8,10,0,18,23,,26,54,.481,7,26,.269,17,26,.654,10,44,12,7,10,20,21,2025,winthrop
45054,8,2024-11-25,,LIU,W,87,65,31,61,.508,6,20,.300,19,32,.594,9,35,16,12,10,10,20,,26,64,.406,3,15,.200,10,21,.476,14,34,9,7,3,16,27,2025,winthrop
45055,9,2024-11-27,,Averett,W,99,56,29,64,.453,11,28,.393,30,41,.732,12,36,17,11,2,8,19,,18,53,.340,6,20,.300,14,19,.737,10,35,9,4,4,23,30,2025,winthrop
45056,10,2024-12-03,@,Queens (NC),W,86,78,30,61,.492,5,18,.278,21,34,.618,8,32,10,6,7,13,22,,28,61,.459,9,26,.346,13,24,.542,8,32,17,5,6,12,28,2025,winthrop
45057,11,2024-12-07,,Coastal Carolina,W,96,89,29,53,.547,7,17,.412,31,40,.775,4,22,11,7,2,5,21,,29,54,.537,10,23,.435,21,29,.724,5,25,12,2,2,12,29,2025,winthrop
45058,12,2024-12-12,,Bob Jones University,W,103,55,38,65,.585,12,28,.429,15,20,.750,16,49,23,8,3,19,11,,20,62,.323,10,31,.323,5,8,.625,6,12,13,12,4,15,14,2025,winthrop
45059,13,2024-12-17,@,Florida State,L,64,82,20,68,.294,9,36,.250,15,23,.652,10,28,10,7,3,15,19,,31,61,.508,7,20,.350,13,17,.765,12,44,16,8,8,20,20,2025,winthrop
45060,14,2024-12-21,,Mercer,W,102,97,31,57,.544,11,23,.478,29,48,.604,10,41,14,8,5,16,20,,34,72,.472,11,25,.440,18,26,.692,10,34,16,10,3,15,32,2025,winthrop
45061,15,2024-12-29,@,Indiana,L,68,77,24,64,.375,6,23,.261,14,20,.700,9,33,8,6,2,10,22,,30,66,.455,1,20,.050,16,24,.667,13,40,17,6,7,8,19,2025,winthrop
45062,16,2025-01-02,,USC Upstate,W,95,76,34,56,.607,6,19,.316,21,31,.677,10,36,11,7,1,12,16,,26,65,.400,10,25,.400,14,16,.875,9,27,14,7,1,13,23,2025,winthrop
45063,17,2025-01-04,@,Radford,L,67,87,21,59,.356,3,17,.176,22,29,.759,11,25,3,9,2,8,22,,28,54,.519,10,22,.455,21,24,.875,11,39,12,4,6,15,24,2025,winthrop
45064,18,2025-01-08,@,Gardner-Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,winthrop
45065,19,2025-01-11,,Longwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,winthrop
45066,20,2025-01-15,,Charleston Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,winthrop
45067,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,winthrop
45068,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,winthrop
45069,21,2025-01-18,@,UNC Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,winthrop
45070,22,2025-01-25,@,High Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,winthrop
45071,23,2025-01-29,,Presbyterian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,winthrop
45072,24,2025-02-01,,Gardner-Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,winthrop
45073,25,2025-02-05,@,Charleston Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,winthrop
45074,26,2025-02-08,@,USC Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,winthrop
45075,27,2025-02-12,,Radford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,winthrop
