,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
45080,1,2024-11-04,,Holy Cross,W,85,61,29,59,.492,11,31,.355,16,16,1.000,7,32,15,7,2,11,14,,23,53,.434,9,24,.375,6,7,.857,3,20,8,4,2,12,20,2025,wisconsin
45081,2,2024-11-07,,Montana State,W,79,67,24,53,.453,11,22,.500,20,21,.952,6,27,15,6,2,11,14,,24,54,.444,12,26,.462,7,10,.700,4,22,12,6,6,13,18,2025,wisconsin
45082,3,2024-11-10,,Appalachian State,W,87,56,33,70,.471,8,28,.286,13,16,.813,13,40,17,14,1,6,18,,21,56,.375,7,24,.292,7,13,.538,9,31,11,2,2,18,19,2025,wisconsin
45083,4,2024-11-15,,Arizona,W,103,88,25,52,.481,12,27,.444,41,47,.872,1,25,17,7,4,9,31,,28,74,.378,4,23,.174,28,40,.700,17,44,6,5,1,13,32,2025,wisconsin
45084,5,2024-11-18,,Texas-Rio Grande Valley,W,87,84,26,53,.491,8,20,.400,27,32,.844,8,28,10,5,1,9,16,,31,63,.492,13,33,.394,9,11,.818,7,27,12,7,1,8,24,2025,wisconsin
45085,6,2024-11-22,N,UCF,W,86,70,32,66,.485,10,31,.323,12,16,.750,8,38,21,5,3,13,26,,21,62,.339,2,17,.118,26,37,.703,11,38,10,5,3,10,17,2025,wisconsin
45086,7,2024-11-24,N,Pitt,W,81,75,29,60,.483,5,20,.250,18,22,.818,7,29,12,3,0,6,16,,30,60,.500,5,23,.217,10,13,.769,5,27,11,1,0,8,19,2025,wisconsin
45087,8,2024-11-30,,Chicago State,W,74,53,23,59,.390,10,30,.333,18,21,.857,9,37,17,3,4,8,10,,20,59,.339,6,24,.250,7,7,1.000,7,33,8,3,5,10,20,2025,wisconsin
45088,9,2024-12-03,,Michigan,L,64,67,22,64,.344,6,27,.222,14,19,.737,11,34,8,7,2,10,18,,23,59,.390,6,25,.240,15,21,.714,10,39,16,7,11,12,17,2025,wisconsin
45089,10,2024-12-07,@,Marquette,L,74,88,24,52,.462,10,26,.385,16,18,.889,11,30,16,3,1,14,18,,31,62,.500,8,26,.308,18,21,.857,10,28,17,9,3,5,17,2025,wisconsin
45090,11,2024-12-10,@,Illinois,L,80,86,28,63,.444,10,29,.345,14,21,.667,9,27,15,5,2,11,21,,27,64,.422,10,33,.303,22,25,.880,15,38,15,3,2,13,22,2025,wisconsin
45091,12,2024-12-14,N,Butler,W,83,74,26,58,.448,6,25,.240,25,27,.926,4,31,19,2,1,3,22,,22,51,.431,8,25,.320,22,32,.688,4,30,12,1,4,6,20,2025,wisconsin
45092,13,2024-12-22,,Detroit Mercy,W,76,53,26,64,.406,7,35,.200,17,19,.895,13,46,13,4,6,9,13,,22,66,.333,4,8,.500,5,6,.833,7,29,5,4,1,8,17,2025,wisconsin
45093,14,2025-01-03,,Iowa,W,116,85,40,62,.645,21,31,.677,15,17,.882,7,35,26,4,0,12,16,,32,66,.485,9,24,.375,12,18,.667,6,20,13,7,1,9,13,2025,wisconsin
45094,15,2025-01-06,@,Rutgers,W,75,63,31,57,.544,7,22,.318,6,6,1.000,6,38,15,5,5,16,15,,25,73,.342,7,26,.269,6,13,.462,13,31,10,8,6,8,16,2025,wisconsin
45095,16,2025-01-10,,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45096,17,2025-01-14,,Ohio State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45097,18,2025-01-18,@,USC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45098,19,2025-01-21,@,UCLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45099,20,2025-01-26,,Nebraska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45100,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,wisconsin
45101,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,wisconsin
45102,21,2025-01-29,@,Maryland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45103,22,2025-02-01,@,Northwestern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45104,23,2025-02-04,,Indiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45105,24,2025-02-08,@,Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45106,25,2025-02-15,@,Purdue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45107,26,2025-02-18,,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45108,27,2025-02-22,,Oregon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45109,28,2025-02-25,,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45110,29,2025-03-02,@,Michigan State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45111,30,2025-03-05,@,Minnesota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
45112,31,2025-03-08,,Penn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wisconsin
