,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
45113,1,2024-11-04,,Erskine,W,112,58,44,92,.478,15,51,.294,9,17,.529,25,62,31,18,0,11,12,,20,56,.357,8,33,.242,10,16,.625,3,28,6,9,3,23,16,2025,wofford
45114,2,2024-11-09,@,Lipscomb,L,69,78,26,58,.448,12,31,.387,5,10,.500,11,30,12,3,2,10,17,,28,58,.483,7,21,.333,15,18,.833,11,34,9,8,0,6,16,2025,wofford
45115,3,2024-11-13,@,Presbyterian,L,68,71,26,57,.456,9,28,.321,7,9,.778,9,32,16,7,4,11,19,,25,52,.481,9,18,.500,12,21,.571,6,25,11,2,3,9,13,2025,wofford
45116,4,2024-11-16,@,Duke,L,35,86,14,57,.246,5,33,.152,2,3,.667,10,27,9,7,0,15,12,,30,62,.484,16,38,.421,10,11,.909,14,42,24,11,3,10,10,2025,wofford
45117,5,2024-11-22,N,St. Thomas,W,81,73,30,55,.545,10,22,.455,11,19,.579,8,35,18,6,3,13,24,,22,53,.415,10,31,.323,19,28,.679,7,25,13,7,6,10,19,2025,wofford
45118,6,2024-11-23,@,Milwaukee,L,74,76,30,61,.492,6,24,.250,8,15,.533,9,27,13,2,4,7,28,,26,57,.456,5,17,.294,19,33,.576,12,37,10,3,2,7,17,2025,wofford
45119,7,2024-11-24,N,Portland State,L,74,79,22,50,.440,13,26,.500,17,21,.810,8,25,17,8,4,15,18,,30,63,.476,8,26,.308,11,16,.688,10,30,13,7,5,10,18,2025,wofford
45120,8,2024-12-01,,North Alabama,W,74,54,30,63,.476,7,23,.304,7,11,.636,15,45,15,4,2,13,15,,19,54,.352,4,18,.222,12,18,.667,5,25,7,9,1,10,14,2025,wofford
45121,9,2024-12-04,,Gardner-Webb,W,88,64,34,58,.586,12,24,.500,8,10,.800,9,28,23,7,1,12,22,,21,48,.438,4,19,.211,18,28,.643,10,21,6,5,3,17,11,2025,wofford
45122,10,2024-12-07,@,Elon,L,56,79,21,73,.288,9,39,.231,5,8,.625,17,31,16,8,0,8,14,,28,47,.596,11,22,.500,12,16,.750,6,38,19,7,8,16,12,2025,wofford
45123,11,2024-12-16,@,College of Charleston,L,67,77,23,69,.333,8,37,.216,13,18,.722,15,41,14,6,5,9,14,,27,59,.458,12,24,.500,11,13,.846,7,34,19,4,6,9,13,2025,wofford
45124,12,2024-12-18,@,Saint Louis,W,74,71,29,58,.500,6,21,.286,10,17,.588,7,34,15,3,2,4,20,,21,45,.467,9,24,.375,20,35,.571,4,28,16,2,2,7,16,2025,wofford
45125,13,2024-12-28,,Kentucky Christian,W,100,55,37,76,.487,10,35,.286,16,27,.593,21,48,23,10,3,7,8,,22,57,.386,8,30,.267,3,4,.750,6,21,11,3,1,16,17,2025,wofford
45126,14,2025-01-01,,UNC Greensboro,L,66,68,24,54,.444,9,23,.391,9,14,.643,8,34,14,1,0,9,21,,22,57,.386,9,24,.375,15,20,.750,8,28,9,4,1,3,16,2025,wofford
45127,15,2025-01-04,@,ETSU,W,81,78,29,47,.617,9,20,.450,14,29,.483,8,25,17,7,4,14,20,,25,46,.543,9,21,.429,19,28,.679,6,23,11,10,1,12,22,2025,wofford
45128,16,2025-01-08,,Western Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45129,17,2025-01-11,@,Furman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45130,18,2025-01-15,@,Chattanooga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45131,19,2025-01-18,,Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45132,20,2025-01-22,,The Citadel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45133,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,wofford
45134,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,wofford
45135,21,2025-01-25,@,Samford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45136,22,2025-01-29,,VMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45137,23,2025-02-01,@,UNC Greensboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45138,24,2025-02-05,,Chattanooga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45139,25,2025-02-08,@,Mercer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45140,26,2025-02-12,@,The Citadel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45141,27,2025-02-15,,Samford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
45142,28,2025-02-19,@,VMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wofford
