,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
45179,1,2024-11-04,,Concordia-St. Paul,W,108,85,45,84,.536,6,21,.286,12,19,.632,16,42,19,9,3,8,26,,26,67,.388,10,31,.323,23,29,.793,12,31,12,2,1,15,18,2025,wyoming
45180,2,2024-11-10,,Tennessee State,W,81,66,30,57,.526,9,18,.500,12,24,.500,9,37,18,6,2,11,23,,22,59,.373,2,16,.125,20,32,.625,15,36,5,6,1,12,19,2025,wyoming
45181,3,2024-11-13,@,Texas Tech,L,49,96,18,53,.340,3,14,.214,10,18,.556,15,27,5,6,0,24,14,,39,61,.639,10,18,.556,8,11,.727,11,34,21,17,1,13,16,2025,wyoming
45182,4,2024-11-16,,Utah Tech,W,86,69,29,58,.500,5,14,.357,23,31,.742,11,41,15,7,4,15,27,,21,59,.356,5,25,.200,22,31,.710,7,20,4,8,0,9,25,2025,wyoming
45183,5,2024-11-22,,Southeastern Louisiana,W,64,61,20,54,.370,5,22,.227,19,33,.576,15,48,5,2,5,16,16,,21,63,.333,8,25,.320,11,16,.688,6,26,11,10,4,6,28,2025,wyoming
45184,6,2024-11-26,N,Tulane,W,64,63,21,53,.396,4,22,.182,18,26,.692,7,38,9,2,4,11,18,,20,59,.339,4,20,.200,19,23,.826,6,30,10,8,7,5,23,2025,wyoming
45185,7,2024-11-27,N,Loyola Marymount,L,70,73,27,63,.429,5,16,.313,11,14,.786,10,34,8,4,3,9,10,,28,57,.491,8,25,.320,9,11,.818,4,30,14,8,6,10,12,2025,wyoming
45186,8,2024-12-04,@,Utah State,L,67,70,24,48,.500,12,26,.462,7,9,.778,2,23,15,5,4,9,21,,23,56,.411,5,17,.294,19,26,.731,9,24,9,5,2,8,13,2025,wyoming
45187,9,2024-12-10,@,South Dakota,L,81,82,24,56,.429,8,23,.348,25,33,.758,14,41,10,2,2,18,24,,27,60,.450,4,19,.211,24,34,.706,8,27,7,4,1,10,26,2025,wyoming
45188,10,2024-12-14,N,BYU,L,49,68,20,48,.417,6,24,.250,3,8,.375,5,23,9,2,2,12,14,,24,46,.522,9,20,.450,11,14,.786,5,27,11,5,2,10,13,2025,wyoming
45189,11,2024-12-19,,Bellarmine,W,92,55,36,55,.655,14,28,.500,6,7,.857,7,32,21,4,4,11,14,,19,49,.388,5,21,.238,12,15,.800,3,15,9,6,0,10,8,2025,wyoming
45190,12,2024-12-22,@,Cal State Fullerton,W,73,69,25,49,.510,10,26,.385,13,16,.813,7,26,11,3,2,9,15,,25,54,.463,8,20,.400,11,14,.786,11,29,7,5,2,8,20,2025,wyoming
45191,13,2024-12-28,,Nevada,W,66,63,22,45,.489,11,21,.524,11,12,.917,4,19,10,4,0,18,19,,21,47,.447,5,11,.455,16,20,.800,7,20,13,9,7,16,16,2025,wyoming
45192,14,2024-12-31,,Boise State,L,58,67,20,57,.351,9,25,.360,9,15,.600,8,26,6,7,2,6,20,,21,46,.457,8,20,.400,17,22,.773,7,37,12,3,4,13,17,2025,wyoming
45193,15,2025-01-04,@,Air Force,W,70,65,24,42,.571,9,13,.692,13,18,.722,5,25,11,5,2,14,17,,26,46,.565,8,18,.444,5,13,.385,3,19,16,6,1,12,20,2025,wyoming
45194,16,2025-01-07,,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
45195,17,2025-01-14,@,Boise State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
45196,18,2025-01-18,,Colorado State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
45197,19,2025-01-21,@,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
45198,20,2025-01-25,@,San Jose State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
45199,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,wyoming
45200,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,wyoming
45201,21,2025-01-28,,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
45202,22,2025-02-01,@,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
45203,23,2025-02-04,,Utah State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
45204,24,2025-02-08,,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
45205,25,2025-02-12,@,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
45206,26,2025-02-15,@,Colorado State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,wyoming
