,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
45212,1,2024-11-04,,Texas Southern,W,78,69,19,51,.373,6,23,.261,34,41,.829,4,30,17,14,3,9,15,,24,58,.414,10,23,.435,11,13,.846,6,31,16,7,4,17,31,2025,xavier
45213,2,2024-11-08,,IU Indianapolis,W,94,80,33,59,.559,10,18,.556,18,22,.818,8,32,23,6,6,8,11,,28,60,.467,14,28,.500,10,12,.833,5,23,15,7,2,9,17,2025,xavier
45214,3,2024-11-12,,Jackson State,W,94,57,33,61,.541,16,31,.516,12,15,.800,5,41,28,7,3,10,20,,19,66,.288,5,20,.250,14,20,.700,10,32,10,7,1,10,17,2025,xavier
45215,4,2024-11-16,,Wake Forest,W,75,60,23,57,.404,10,26,.385,19,22,.864,8,25,17,12,3,10,14,,22,47,.468,5,15,.333,11,15,.733,6,27,11,5,7,18,18,2025,xavier
45216,5,2024-11-20,,Siena,W,80,55,33,65,.508,11,24,.458,3,4,.750,5,31,24,11,2,9,18,,20,48,.417,6,18,.333,9,20,.450,7,27,13,6,11,15,13,2025,xavier
45217,6,2024-11-25,N,South Carolina,W,75,66,28,63,.444,4,18,.222,15,21,.714,10,36,10,8,4,10,15,,23,54,.426,4,17,.235,16,20,.800,3,28,8,4,4,11,19,2025,xavier
45218,7,2024-11-27,N,Michigan,L,53,78,20,58,.345,8,23,.348,5,9,.556,7,35,7,4,0,18,16,,30,61,.492,11,22,.500,7,14,.500,7,34,17,10,4,9,14,2025,xavier
45219,8,2024-12-01,,South Carolina State,W,71,68,20,44,.455,5,18,.278,26,36,.722,2,25,18,12,5,15,19,,23,54,.426,7,21,.333,15,22,.682,7,27,15,9,2,17,27,2025,xavier
45220,9,2024-12-05,@,TCU,L,72,76,28,58,.483,9,28,.321,7,9,.778,8,27,20,3,2,15,15,,28,60,.467,6,18,.333,14,18,.778,10,31,15,13,1,7,13,2025,xavier
45221,10,2024-12-10,,Morgan State,W,119,58,41,68,.603,12,18,.667,25,34,.735,15,52,25,8,2,6,16,,22,61,.361,2,10,.200,12,22,.545,4,21,12,3,7,10,19,2025,xavier
45222,11,2024-12-14,@,Cincinnati,L,65,68,22,58,.379,6,19,.316,15,17,.882,7,33,13,7,0,13,20,,22,58,.379,5,20,.250,19,26,.731,10,34,13,9,4,9,16,2025,xavier
45223,12,2024-12-18,@,UConn,L (1 OT),89,94,29,58,.500,13,24,.542,18,21,.857,3,21,9,3,2,9,20,,33,69,.478,8,24,.333,20,21,.952,12,32,21,7,10,7,16,2025,xavier
45224,13,2024-12-21,,Marquette,L,70,72,24,52,.462,6,19,.316,16,20,.800,4,26,16,7,3,13,14,,29,59,.492,7,19,.368,7,11,.636,4,27,16,10,4,10,20,2025,xavier
45225,14,2024-12-31,,Seton Hall,W,94,72,27,47,.574,10,21,.476,30,40,.750,7,27,20,7,9,10,22,,23,61,.377,6,13,.462,20,24,.833,11,28,13,4,3,12,29,2025,xavier
45226,15,2025-01-03,@,Georgetown,L,63,69,20,57,.351,5,19,.263,18,25,.720,7,33,8,8,0,11,19,,25,56,.446,4,18,.222,15,25,.600,11,39,11,2,4,12,22,2025,xavier
45227,16,2025-01-07,,St. John's (NY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
45228,17,2025-01-11,@,DePaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
45229,18,2025-01-14,,Villanova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
45230,19,2025-01-18,@,Marquette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
45231,20,2025-01-22,@,St. John's (NY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
45232,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,xavier
45233,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,xavier
45234,21,2025-01-25,,UConn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
45235,22,2025-01-29,@,Creighton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
45236,23,2025-02-04,,Georgetown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
45237,24,2025-02-09,@,Villanova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
45238,25,2025-02-12,@,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
45239,26,2025-02-15,,DePaul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,xavier
