,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
45274,1,2024-11-04,,Westminster (PA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45275,2,2024-11-09,@,Chicago State,W,80,60,26,60,.433,5,19,.263,23,32,.719,17,46,13,1,7,12,17,,19,61,.311,3,14,.214,19,26,.731,8,28,5,9,3,11,25,2025,youngstown-state
45276,3,2024-11-11,@,Ohio State,L,47,81,14,59,.237,3,22,.136,16,24,.667,12,25,6,8,4,12,17,,31,56,.554,10,22,.455,9,13,.692,5,38,17,7,7,15,22,2025,youngstown-state
45277,4,2024-11-16,@,Syracuse,L (2 OT),95,104,32,72,.444,8,31,.258,23,30,.767,3,29,9,8,3,9,30,,37,73,.507,5,22,.227,25,38,.658,10,45,19,3,4,10,21,2025,youngstown-state
45278,5,2024-11-21,N,Monmouth,W,72,62,23,56,.411,8,27,.296,18,27,.667,9,39,10,7,5,12,18,,22,70,.314,5,18,.278,13,18,.722,13,38,10,5,3,14,20,2025,youngstown-state
45279,6,2024-11-22,N,Presbyterian,L,42,67,16,59,.271,6,27,.222,4,9,.444,11,32,7,6,2,15,14,,25,54,.463,5,11,.455,12,19,.632,6,35,11,9,4,10,13,2025,youngstown-state
45280,7,2024-11-23,@,Stephen F. Austin,L,57,64,21,58,.362,7,23,.304,8,17,.471,9,23,8,12,5,11,16,,21,44,.477,8,17,.471,14,18,.778,6,33,15,7,5,18,13,2025,youngstown-state
45281,8,2024-11-27,,Western Michigan,L,62,73,23,64,.359,5,27,.185,11,19,.579,10,28,15,8,9,9,21,,24,57,.421,6,9,.667,19,28,.679,15,43,13,7,1,12,19,2025,youngstown-state
45282,9,2024-11-30,,Bethany (WV),W,128,60,49,77,.636,14,29,.483,16,22,.727,18,47,38,12,2,6,14,,19,55,.345,10,31,.323,12,15,.800,3,15,10,5,1,19,18,2025,youngstown-state
45283,10,2024-12-04,@,Robert Morris,W,72,58,28,61,.459,6,23,.261,10,13,.769,6,33,11,8,9,13,23,,20,58,.345,3,22,.136,15,22,.682,12,34,12,7,6,16,15,2025,youngstown-state
45284,11,2024-12-07,,Oakland,W,66,50,23,52,.442,8,27,.296,12,14,.857,9,31,14,6,5,9,17,,18,52,.346,2,16,.125,12,17,.706,8,27,5,4,1,11,12,2025,youngstown-state
45285,12,2024-12-14,,Toledo,W,93,87,29,59,.492,12,32,.375,23,28,.821,10,30,18,6,11,10,24,,28,60,.467,4,12,.333,27,37,.730,13,32,8,7,2,10,24,2025,youngstown-state
45286,13,2024-12-18,@,Wright State,W,80,70,28,63,.444,10,30,.333,14,21,.667,10,32,13,6,1,7,17,,26,55,.473,10,24,.417,8,15,.533,5,33,14,4,4,14,17,2025,youngstown-state
45287,14,2024-12-21,@,USC Upstate,W,72,64,23,57,.404,6,28,.214,20,25,.800,6,36,9,9,6,15,17,,24,67,.358,1,18,.056,15,19,.789,8,35,13,10,1,16,23,2025,youngstown-state
45288,15,2024-12-29,,Detroit Mercy,W,73,64,22,60,.367,9,29,.310,20,32,.625,8,36,14,11,4,15,21,,20,64,.313,2,16,.125,22,30,.733,14,43,9,11,1,16,26,2025,youngstown-state
45289,16,2025-01-01,@,IU Indianapolis,W,77,61,21,49,.429,12,25,.480,23,28,.821,9,40,14,2,9,12,21,,19,62,.306,7,26,.269,16,23,.696,12,33,11,8,4,9,19,2025,youngstown-state
45290,17,2025-01-04,@,Purdue Fort Wayne,L,81,90,31,65,.477,9,31,.290,10,16,.625,7,37,9,5,4,14,20,,34,65,.523,11,25,.440,11,18,.611,1,30,18,9,4,7,15,2025,youngstown-state
45291,18,2025-01-08,,Northern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45292,19,2025-01-11,,Cleveland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45293,20,2025-01-17,@,Milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45294,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,youngstown-state
45295,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,youngstown-state
45296,21,2025-01-19,@,Green Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45297,22,2025-01-22,,Robert Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45298,23,2025-01-30,,Wright State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45299,24,2025-02-01,,IU Indianapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45300,25,2025-02-06,@,Oakland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45301,26,2025-02-08,@,Detroit Mercy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45302,27,2025-02-12,,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45303,28,2025-02-16,@,Cleveland State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45304,29,2025-02-21,,Milwaukee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45305,30,2025-02-23,,Green Bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
45306,31,2025-03-01,@,Northern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,youngstown-state
